video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Dznf25Lwbp0&pp=ygUKdXcgc2VhdHRsZdIHCQnFCgGHKiGM7w%3D%3D,/@chloeiewis,Chloe Lewis,COLLEGE DORM TOUR 💜💛 (my freshman year in a UW double dorm),1.7K,1 year,"UW Seattle dorm tour!!! This year, I'm living in a double room with a private bath on West Campus. I only showed my side and ...",2026-03-16 20:16:05.880738
/watch?v=eJFKNrru53I&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Anonymous donor pays for UW seniors' tuition,3.8K,3 months,A donor put $50 million toward the education of medical laboratory science students - a critical program that the University of ...,2026-03-16 20:16:05.881891
/watch?v=TYkEyZb-8jg&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@olivia-pongsrida,O L I V I A,My High School Background + How I Got Into UW Seattle,61K,7 years,"mildly requested, mildly delivered. haha congrats to all who are killing college szn, good luck on your endeavors! -- UW ...",2026-03-16 20:16:05.883510
/watch?v=etRZCmYa1bw&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@dobochobo,dobochobo,first week of college 🍵☔️ as a senior @ university of washington!,188K,2 years,"check out SigmaOS https://go.sigmaos.com/dobochobo a week of settling in, trying to get back into the groove of college life, ...",2026-03-16 20:16:05.885021
/watch?v=yR5Ki7O3xnk&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@WindWalkTravelVideos,Wind Walk Travel Videos ʬ,[4K] UW Cherry Blossom 🌸 The Quad at University of Washington Seattle | Spring Campus Walking Tour,17K,1 year,Breathtaking Cherry Blossoms at The Quad in University of Washington - Seattle. The University of Washington (UW) is renowned ...,2026-03-16 20:16:05.886239
/watch?v=78N9Pa9dCUE&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@FastMatt,FastMatt,UW-Seattle JSA Matsuri 2011 (4/16/2011),2.5K,14 years,[HD Available] Music: Ingrid Michaelson - Sort Of Audio used in this video belongs to the respective recording artist and record ...,2026-03-16 20:16:14.676780
/watch?v=PJVO7Ae7_4M&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@HuskyRobotics,Husky Robotics,UW Seattle Husky Robotics: URC 2026 System Acceptance Review (SAR),3K,2 weeks,Welcome to the official University Rover Challenge (URC) 2026 System Acceptance Review (SAR) video submission for Husky ...,2026-03-16 20:16:14.678852
/watch?v=ijJmVF84r-A&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@uwsomwwami,University of Washington School of Medicine,First day of classes at the UW School of Medicine 2022 in Seattle,5.8K,3 years,The first orientation day for medical students at the University of Washington School of Medicine in Seattle was in July 2022.,2026-03-16 20:16:14.680832
/shorts/cRbBTiW_pXk,/@VidVista-2327,Vid Vista,"UNIVERSITY OF WASHINGTON, SEATTLE #travel #university #washington #seattle #shorts #reels #facts",14K,1 year,Discover the University of Washington Seattle: From its stunning campus views to iconic landmarks like the Drumheller Fountain ...,2026-03-16 20:16:14.682070
/watch?v=A299qy6FBj4&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,"UW, Seattle U students back on campus",1.1K,4 years,Students at the University of Washington and Seattle University will return to campus on Monday. Subscribe to FOX 13 Seattle: ...,2026-03-16 20:16:14.686515
/watch?v=KWQqt4ARXHY&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@universityofwashington,UW (University of Washington),Blue Friday at UW Seattle,3.6K,12 years,"Students at the University of Washington show their support of the Seattle Seahawks playing in Superbowl XLVIII on Sunday, ...",2026-03-16 20:16:14.687747
/watch?v=7s1apetbuMA&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@data_with_dylan,Data with Dylan,How I got into UW Seattle [Essay Timeline + Data Sci Activities],4.4K,1 year,This is the first video in my UW playlist and I'll show you the essay timeline and data science activities that I've done to get into UW ...,2026-03-16 20:16:14.689446
/watch?v=_g4mpFpEsTM&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@politicalscienceuwseattle53,Political Science UW Seattle,"UW Seattle Political Science Department Faculty Panel, Autumn 2020",147,5 years,Aseem Prakash: Will Climate Concerns Affect the 2020 Elections? Susan Whiting: U.S.-China Relations and the 2020 Elections ...,2026-03-16 20:16:14.696640
/shorts/E7g-wgrjolM,/@Marsehlus,Marsehlus,DAY IN MY LIFE as a UW Student #godawgs,1.1K,1 year,socials ☆ https://twitter.com/marsehlus ☆ https://www.instagram.com/mjsdng/ ☆ https://www.tiktok.com/@marsehlus ...,2026-03-16 20:16:14.697828
/watch?v=Xvm6SH8BWBY&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@genjster,genjster,UW Seattle campus tour | Cherry Blossoms 🌸 | Seattle Walk 2022 🚶,4.9K,3 years,"In this video, I take you on a campus tour of the University of Washington (UW) campus in Seattle. The UW campus is often ...",2026-03-16 20:16:14.700657
/watch?v=p-zIwRbQa2E&pp=ygUKdXcgc2VhdHRsZdIHCQnFCgGHKiGM7w%3D%3D,/@TimothyJoo,Tim Joo,UW Seattle | Day in the Life of a Freshman: Last Day of Freshman Year,1.5K,7 years,My last day of freshman year at UW Seattle! Very fun and exciting day with some amazing people that I love to death! GEAR I USE: ...,2026-03-16 20:16:14.703664
/watch?v=368CewT0bdA&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@universityofwashington,UW (University of Washington),UW celebrates graduates at 2025 Commencement at Husky Stadium,2.2K,9 months,"UW celebrated its 150th Commencement in Husky Stadium July 14th, 2025. More than 7400 UW graduates — the most ever to ...",2026-03-16 20:16:14.704919
